number,value,datetime_start,datetime_complete,duration,params_fast,params_slow,user_attrs_calmar_ratio,user_attrs_max_drawdown,user_attrs_max_drawdown_duration,user_attrs_sharpe_ratio,user_attrs_sortino_ratio,user_attrs_total_return,state
40,-0.406110867911936,2026-04-06 16:05:45.588135,2026-04-06 16:05:45.698060,0 days 00:00:00.109925,10,50,-0.5066109240053651,-0.16377544469007943,6376.0,-0.406110867911936,-0.3656054877273914,-0.08296136207814087,COMPLETE
41,0.4072165807397124,2026-04-06 16:05:45.698487,2026-04-06 16:05:45.809218,0 days 00:00:00.110731,20,50,0.3189367564585032,-0.1490193359271339,6376.0,0.4072165807397124,0.3819643312348193,0.047522191186961174,COMPLETE
42,0.4072165807397124,2026-04-06 16:05:45.809742,2026-04-06 16:05:45.919310,0 days 00:00:00.109568,20,50,0.3189367564585032,-0.1490193359271339,6376.0,0.4072165807397124,0.3819643312348193,0.047522191186961174,COMPLETE
43,0.4072165807397124,2026-04-06 16:05:45.919821,2026-04-06 16:05:46.033550,0 days 00:00:00.113729,20,50,0.3189367564585032,-0.1490193359271339,6376.0,0.4072165807397124,0.3819643312348193,0.047522191186961174,COMPLETE
44,0.3170761924302227,2026-04-06 16:05:46.033883,2026-04-06 16:05:46.267981,0 days 00:00:00.234098,15,60,0.2655974367650112,-0.006713430050858227,8288.0,0.3170761924302227,0.2904001205309443,0.0017828660852845478,COMPLETE
45,0.4072165807397124,2026-04-06 16:05:46.268581,2026-04-06 16:05:46.376435,0 days 00:00:00.107854,20,50,0.3189367564585032,-0.1490193359271339,6376.0,0.4072165807397124,0.3819643312348193,0.047522191186961174,COMPLETE
46,0.4072165807397124,2026-04-06 16:05:46.376973,2026-04-06 16:05:46.484547,0 days 00:00:00.107574,20,50,0.3189367564585032,-0.1490193359271339,6376.0,0.4072165807397124,0.3819643312348193,0.047522191186961174,COMPLETE
47,-0.49755287658117814,2026-04-06 16:05:46.485063,2026-04-06 16:05:46.592223,0 days 00:00:00.107160,15,50,-0.5050855501961812,-0.13563076264458562,4349.0,-0.49755287658117814,-0.4241454593300976,-0.06849759231988453,COMPLETE
48,0.4072165807397124,2026-04-06 16:05:46.592655,2026-04-06 16:05:46.703324,0 days 00:00:00.110669,20,50,0.3189367564585032,-0.1490193359271339,6376.0,0.4072165807397124,0.3819643312348193,0.047522191186961174,COMPLETE
49,-0.5586773816948,2026-04-06 16:05:46.703688,2026-04-06 16:05:46.811764,0 days 00:00:00.108076,5,50,-0.46432312203307385,-0.18779075790264965,7199.0,-0.5586773816948,-0.5011353863711873,-0.0871860842732181,COMPLETE
